[contents],,,,,,,,,,
count=3,,,,,,,,,,
Name=,C:\Users\nick cafferry\Desktop\data\¹ãÖÝFC0099 Ãµ¹å.D,,,,,,,,,
1=,PBM ¶¥µã,,,,,,,,,
2=,INT TIC: ¹ãÖÝFC0099 Ãµ¹å.D\data.ms,,,,,,,,,
3=,INT ¹ãÖÝFC0099 Ãµ¹å.D\FID1A.ch,,,,,,,,,
[PBM ¶¥µã],,,,,,,,,,
Time=,Thu Jun 03 09:33:54 2021,,,,,,,,,
Header=,PK,RT,Area Pct,Library/ID,Ref,CAS,Qual,,,
1=,1,16.271,0.010,Leaf alcohol,1789,000928-96-1,96,,,
2=,2,17.296,0.011,Isoamyl acetate,434,000123-92-2,90,,,
3=,3,17.447,0.001,ÒÒËá2-¼×»ù¶¡õ¥2-METHYL-BUTYL ACETATE,,000624-41-9,83,,,
4=,4,18.421,0.001,"1,3-Heptadiene, 2,3-dimethyl- $$ (3E)-2,3-Dimethyl-1,3-heptadiene",,065378-76-9,72,,,
5=,5,21.375,0.018,Benzaldehyde,2646,000100-52-7,95,,,
6=,6,24.378,0.080,cis-3-Hexenyl acetate,1917,001708-82-3,90,,,
7=,7,24.666,0.005,DPG,1169,000110-98-5,90,,,
8=,8,24.830,0.049,DPG $$ Dipropylene glycol  ¶þËõ±û¶þ´¼,14509,000110-98-5,91,,,
9=,9,25.574,0.008,Benzyl Alcohol,9,000100-51-6,90,,,
10=,10,25.870,0.028,DPG<peak3>,,000110-98-5,86,,,
11=,11,25.931,0.157,Phenylacetaldehyde,1742,000122-78-1,95,,,
12=,12,26.058,0.047,DPG<peak3>,2799,000110-98-5,86,,,
13=,13,26.785,0.003,Limonene,,000138-86-3,95,,,
14=,14,27.317,0.006,ËÕºÏÏã´¼$ 1-Phenylethanol $$ 1-PHENYL-ETHANOL $$,532,000098-85-1,96,,,
15=,15,27.523,0.001,"Ethanone, 1-phenyl- (CAS) $$ Acetophenone $$ Phenyl methyl ketone $$ Hypnon",,98-86-2,43,,,
16=,16,27.688,0.007,DPG<peak3>,2799,000110-98-5,72,,,
17=,17,28.676,0.017,Dihydro myrcenol,1848,018479-58-8,90,,,
18=,18,28.816,0.031,Triplal<peak1>,6,068039-49-6,99,,,
19=,19,30.803,11.691,Phenylethyl Alcohol,,000060-12-8,72,,,
20=,20,30.845,1.847,"Benzene, 1-methyl-2-nitroso- $$ Toluene, o-nitroso- $$ o-Methylnitrosobenzene",,020615-75-2,53,,,
21=,21,30.856,0.947,Phenylethyl Alcohol,,000060-12-8,72,,,
22=,22,31.324,0.118,Rose oxide,1756,016409-43-1,96,,,
23=,23,32.266,0.023,Isocyclocitral<peak2>,276,001335-66-6,96,,,
24=,24,32.481,0.075,Isocyclocitral<peak2>,276,001335-66-6,96,,,
25=,25,32.813,0.119,Jasmaprumat(Fructone),1735,006413-10-1,90,,,
26=,26,33.568,4.702,Benayl acetate (Phenylmethyl acetate),1921,000140-11-4,93,,,
27=,27,33.684,0.134,Isocyclocitral,275,001335-66-6,97,,,
28=,28,34.305,0.219,Ethyl benzoate,1885,000093-89-0,92,,,
29=,29,35.473,0.229,Styralyl acetate,1750,000093-92-5,98,,,
30=,30,36.366,0.411,Dimethyl octanol,2002,000106-21-8,91,,,
31=,31,36.687,0.007,"cis-Carveol $$ 2-Cyclohexen-1-ol, 2-methyl-5-(1-methylethenyl)-, cis- (CAS)",,1197-06-4,40,,,
32=,32,37.262,0.002,PIPERITOL <TRANS-> (=TRANS-P-MENTH-1-EN-3-OL),,16721-39-4,99,,,
33=,33,37.531,0.043,Citronellol,143,000106-22-9,83,,,
34=,34,37.792,0.009,"cis/trans-Isopiperitenol $$ (S,S)-Isopiperitenol (name from MOL file)",,4017-76-9,83,,,
35=,35,38.334,4.994,Citronellol,,000106-22-9,94,,,
36=,36,38.371,3.441,L-Citronellol,2728,000106-22-9,86,,,
37=,37,38.414,0.462,Nerol,,000106-25-1,96,,,
38=,38,38.721,0.036,"cis-2,6-Dimethyl-2,6-octadiene $$ (6Z)-2,6-Dimethyl-2,6-octadiene #",48302,002492-22-0,49,,,
39=,39,39.129,0.034,"3,6-Octadien-1-ol, 3,7-dimethyl-, (Z)- $$ Isogeraniol",75750,005944-20-7,72,,,
40=,40,39.378,0.868,Phenylethyl acetate,722,000103-45-7,86,,,
41=,41,39.855,3.183,Geraniol,1797,000106-24-1,83,,,
42=,42,40.404,0.054,Citral<peak2>,2716,005392-40-5,89,,,
43=,43,42.475,0.119,Aldehyde super<Impurity peak),2477,143-14-6,93,,,
44=,44,42.945,3.487,Agrumex Cis-(Verdox CIS-),47402,000088-41-5,90,,,
45=,45,44.121,0.092,Verdox(1),2332,000088-41-5,91,,,
46=,46,45.369,0.010,¼×Î»Í»Þ§Íª.ALPHA. DAMASCONE,9418,043052-87-5,95,,,
47=,47,45.983,0.737,Citronellyl acetate,814,000150-84-5,96,,,
48=,48,46.486,0.125,Geranyl acetate (peak1),1919,000105-87-3,91,,,
49=,49,46.648,0.015,alpha-Damascone,1091,024720-09-0,91,,,
50=,50,47.567,0.087,Geranyl acetate (peak2),1920,000105-87-3,91,,,
51=,51,47.694,0.152,delta-Damascone,1668,035044-68-9,97,,,
52=,52,48.316,0.008,delta- Damascone,1777,057378-68-4,93,,,
53=,53,48.893,4.120,Diphenyl ether,1220,000101-84-8,81,,,
54=,54,49.409,0.017,Myristic aldehyde,248,000124-25-4,91,,,
55=,55,49.660,0.048,Coumarin,2736,000091-64-5,96,,,
56=,56,50.055,0.008,"3,5-dimethyl-2-propylthiophene",75449,113591-54-1,78,,,
57=,57,50.304,0.019,Allyl cyclohexyl propionate,2484,002705-87-5,91,,,
58=,58,50.905,0.004,Ethyl vanillin,1823,000121-32-4,93,,,
59=,59,52.101,0.025,Cyclamen aldehyde,314,000103-95-7,97,,,
60=,60,52.657,0.001,"1,6,10-Dodecatrien-3-ol, 3,7,11-trimethyl- $$ Nerolidol",,007212-44-4,36,,,
