[contents],,,,,,,,,,
count=2,,,,,,,,,,
Name=,C:\Users\nick cafferry\Desktop\CF0100.D\CF0100.D,,,,,,,,,
1=,PBM ∂•µ„,,,,,,,,,
2=,INT TIC: CF0100.D\data.ms,,,,,,,,,
[PBM ∂•µ„],,,,,,,,,,
Time=,Thu Jun 03 13:44:26 2021,,,,,,,,,
Header=,PK,RT,Area Pct,Library/ID,Ref,CAS,Qual,,,
1=,1,5.923,0.01735012,Ethyl isobutyrate,514,000097-62-1,80,,,
2=,2,6.753,0.005506935,3-º∫¥º $$ Hexan-3-ol $$ C2H5CH(OH)C3H7 $$ Ethylpropylcarbinol $$ Hexano,12575,000623-37-0,64,,,
3=,3,8.057,0.017203395,"1-Butanol, 2-ethyl- (CAS) $$ 2-Ethyl-1-butanol $$ 3-Methylolpentane",12703,000097-95-0,78,,,
4=,4,8.403,0.015658772,Ethyl 2-methyl butyrate,1731,007452-79-1,86,,,
5=,5,8.51,0.023198022,Leaf alcohol,1789,000928-96-1,91,,,
6=,6,9.077,5.030415563,Alcohol C6(Hexanol),2452,000011-27-3,90,,,
7=,7,9.473,0.004546609,"2-Hexen-1-ol, (E)- (CAS) $$ trans-2-Hexen-1-ol $$ (E)-2-hexen-1-ol",10847,000928-95-0,47,,,
8=,8,10.286,0.01130089,2-Heptanol (CAS) $$ 2-Hydroxyheptane $$ s-Heptyl alcohol $$ 2-Heptyl alcohol,22845,000543-49-7,72,,,
9=,9,11.018,0.018446373,Prenyl acetate,2636,001191-16-8,78,,,
10=,10,11.923,0.027311121,alpha-Pinene,2544,000099-83-2,91,,,
11=,11,12.449,0.039140933,Alpha-Pinene(RI=950),3362,000080-56-8,95,,,
12=,12,13,0.00540308,"”“–˝›®œ©- $$ Camphene, (1R,4S)-(+)",8203,005794-03-6,76,,,
13=,13,13.095,0.141354714,Camphene,1139,000079-92-5,97,,,
14=,14,14.254,0.010929254,Sabinene,2045,003387-41-5,70,,,
15=,15,14.488,0.011284063,beta-Pinene,3217,000127-91-3,87,,,
16=,16,15.067,0.021391215,ETHYL AMYL CARBINOL $$ 3 OCTANOL $$ 3-OCTANOL $$ OCTAN-3-OL $$ (1)-OCTAN-3-OL,37532,000589-98-0,72,,,
17=,17,15.172,0.057603677,beta-Myrcene,2542,000123-35-3,96,,,
18=,18,15.419,0.107587586,Cis-3-hexenyl acetate,3219,001708-82-3,90,,,
19=,19,16.34,6.442909462,DPG<peak1>,2797,000110-98-5,91,,,
20=,20,16.372,0.761605443,DPG,1169,000110-98-5,91,,,
21=,21,16.423,0.232949599,DPG,1169,000110-98-5,91,,,
22=,22,16.679,0.043615246,alpha-Terpinene,3054,000099-86-5,98,,,
