[contents],,,,,,,,,,
count=2,,,,,,,,,,
Name=,C:\Users\nick cafferry\Desktop\CF0105.D,,,,,,,,,
1=,PBM ∂•µ„,,,,,,,,,
2=,INT TIC: CF0105.D\data.ms,,,,,,,,,
[PBM ∂•µ„],,,,,,,,,,
Time=,Wed Jun 02 09:39:36 2021,,,,,,,,,
Header=,PK,RT,Area Pct,Library/ID,Ref,CAS,Qual,,,
1=,1,7.177,0.023,"““À·’˝∂°ı• $$ n-Butyl acetate $$ ETHANOIC ACID, BUTANOL ESTE",2452,000123-86-4,53,,,
2=,2,8.072,0.013,"1-Butanol, 2-ethyl- (CAS) $$ 2-Ethyl-1-butanol $$ 3-Methylolpentane",1703,97-95-0,49,,,
3=,3,9.092,4.257,Alcohol C6(Hexanol),2797,000011-27-3,90,,,
4=,4,10.299,0.011,"2-Hexanol, 5-methyl- (CAS) $$ 2-Methyl-5-hexanol $$ 5-Methyl-2-hexanol",2797,627-59-8,43,,,
5=,5,12.108,0.038,Manzanoate,2798,039255-32-8,86,,,
6=,6,12.341,0.007,Benzaldehyde (CAS) $$ Phenylmethanal $$ Benzenecarbonal $$ Benzaldehyde FFC,2798,000100-52-7,60,,,
7=,7,12.476,0.029,Alpha-Pinene(RI=950),1793,000080-56-8,90,,,
8=,8,14.277,0.030,Beta-Thujene(RI950),1751,028634-89-1,95,,,
9=,9,14.519,0.019,beta-Pinene,6586,000127-91-3,96,,,
10=,10,15.137,0.057,Ethyl hexanoate,1750,000123-66-0,91,,,
11=,11,15.797,0.087,DPG<peak1>,3204,000110-98-5,91,,,
12=,12,15.861,0.097,DPG<peak1>,1744,000110-98-5,91,,,
13=,13,16.078,0.008,p-Gresyl methyl ether,1787,000104-93-8,90,,,
14=,14,16.805,0.116,DPG<peak2>,2181,000110-98-5,90,,,
15=,15,16.940,0.030,DPG<peak4>,1640,000110-98-5,78,,,
16=,16,17.069,0.114,DPG<peak2>,1788,000110-98-5,90,,,
17=,17,17.422,0.006,ƒ˚√ œ©LIMONENE,1795,7705-14-8,90,,,
18=,18,18.740,0.024,DPG<peak4>,1106,000110-98-5,78,,,
19=,19,19.469,0.022,Triplal<peak1>,2105,998047-68-1,86,,,
20=,20,20.445,0.032,Liffarome,2449,067633-96-9,72,,,
21=,21,21.102,0.027,Triplal<Peak2>,1836,068737-61-1,95,,,
22=,22,21.254,0.026,Phenylethyl Alcohol,967,000060-12-8,87,,,
23=,23,21.415,0.961,Linalool,967,000078-70-6,97,,,
24=,24,22.362,0.254,Frutinat,1636,035206-51-0,90,,,
25=,25,23.495,0.017,À…”Õœ©¥º-1TERPINENE 1-OL,1328,000586-82-3,58,,,
26=,26,23.565,0.013,Dihydrolinalool,2531,002270-57-7,64,,,
27=,27,24.025,0.052,““ŒªÀ…”Õ¥º $$beta-Terpineol $,1536,000138-87-4,91,,,
28=,28,24.481,0.009,"Acetic acid, phenylmethyl ester (CAS) $$ Benzyl acetate",2706,000140-11-4,70,,,
29=,29,24.905,0.018,Isoborneol,156421,000124-76-5,68,,,
30=,30,25.204,0.019,Dihydrocarvyl butyrate(æÆ…œ)““À·∂˛«‚œ„«€ı•,1315,000000-00-0,64,,,
31=,31,25.465,0.037,Borneol (peak2:60%Borneol),2707,000464-45-9,90,,,
32=,32,26.306,0.011,À…”Õœ©¥º-4$$terpinene-4-ol,1962,000562-74-3,60,,,
33=,33,26.637,0.094,Styralyl acetate,2785,000093-92-5,98,,,
34=,34,26.811,0.091,Ethyl linalool<peak1>,2347,010339-55-6,74,,,
35=,35,27.034,0.362,alpha-Terpineol,1897,000098-55-5,90,,,
36=,36,27.269,0.518,Florol<Peak1>,3325,063500-71-0,91,,,
37=,37,27.516,0.114,gamma-Terpineol,8,000586-81-2,97,,,
38=,38,27.631,0.144,Ethyl linalool<peak2>,2897,010339-55-6,90,,,
39=,39,28.403,1.867,Florol<peak2>,1623,063500-71-0,91,,,
40=,40,29.051,0.026,Dodecane (CAS) $$ n-Dodecane $$ Ba 51-090453 $$ Adakane 12 $$ Isododecane,2233,112-40-3,95,,,
41=,41,29.681,0.156,Citronellol,1749,000106-22-9,98,,,
42=,42,29.987,0.023,Allyl amyl glycolate,156640,67634-00-8,72,,,
43=,43,31.279,0.021,"œ„“∂¥ºtrans-Geraniol $$ 2,6-Octadien-1-ol, 3,7-dimethyl-, (E)- (CAS)$$ Lem",2347,106-24-1,53,,,
44=,44,32.487,0.058,Undecavertol,2438,081782-77-6,91,,,
45=,45,32.664,0.013,"Benzeneethanal, 4-[1,1-dimethylethyl]- $$ (4-tert-Butylphenyl)acetaldehyde #",224,109347-45-7,81,,,
46=,46,33.072,0.092,Peranat ,5138,090397-38-9,93,,,
47=,47,33.611,0.027,Cinnamyl alcohol,40076,4407-36-7,93,,,
48=,48,34.031,0.170,Agrumex Cis-(Verdox CIS-) ,199366,000088-41-5,91,,,
49=,49,34.160,0.011,∂‘“Ï±˚ª˘±Ω““Õ™ $$ 4-Isopropylacetophenone $$ BENZO,2697,645-13-6,52,,,
50=,50,34.650,0.253,Piperonal,1283,000120-57-0,96,,,
51=,51,35.265,0.018,Agrumex TRANS-(Verdox Trans-),1621,000088-41-5,86,,,
52=,52,36.504,11.662,Triacetin,1283,000102-76-1,83,,,
53=,53,36.649,5.950,Triacetin ,1622,000102-76-1,83,,,
54=,54,37.874,0.051,Citronellyl acetate,1283,150-84-5,93,,,
55=,55,38.801,1.866, PTBCHA(Vertenex)<peak2>,1282,020298-69-5,91,,,
56=,56,38.994,0.016,delta-Damascone,9453,41436-42-4,91,,,
57=,57,39.504,0.009,““À·≥»ª®ı•NERYL ACETATE,237278,000141-12-8,50,,,
58=,58,40.095,0.047,alpha-Damascone,9453,024720-09-0,97,,,
59=,59,40.457,0.015,"alpha-Cedrene<1,2-DI-EPIALPHA->",957,000469-61-4,96,,,
60=,60,40.619,0.372,Coumarin,9451,000091-64-5,96,,,
61=,61,40.697,0.022,"alpha-Cedrene<1,2-DI-EPIALPHA->",276344,469-61-4,96,,,
62=,62,41.921,0.036,Florazone,127117,006734-14-4,80,,,
63=,63,42.328,0.664,Cedrene<alpha->,2700,469-61-4,99,,,
64=,64,42.447,0.051,Ethyl vanillin,2329,000121-32-4,92,,,
65=,65,42.463,0.076,Floralozone,5,006734-14-4,93,,,
66=,66,42.704,0.147,Cedrene<beta->,319745,469-61-4,95,,,
67=,67,42.772,0.359,1-(4-tert-Butylphenyl)propan-2-one,2129,081561-77-5,99,,,
68=,68,43.230,0.047,gama-Decalactone,327,000706-14-9,80,,,
69=,69,43.351,0.843,Thujopsene<CIS->,2701,470-40-6,93,,,
70=,70,45.453,0.017,LONGIPINENE <ALPHA->,14780,005989-08-2,91,,,
71=,71,45.698,2.561,Isomethyl ionone,14420,000127-51-5,97,,,
72=,72,45.874,0.024,"(E)-4-(2',6',6'-Trimethyl-2'-cyclohexen-1'-yl)-3-penten-2-one",14420,093175-78-1,58,,,
73=,73,46.045,0.339,Dimethyl benzyl carbinyl butyrate,2283,010094-34-5,91,,,
74=,74,46.561,0.014,Selinene<beta->,2284,000473-13-2,90,,,
75=,75,46.868,0.152,beta-Methyl ionone,1377,000127-43-5,86,,,
76=,76,47.019,0.187,Phenoxy ethyl isobutyrate,1362,000103-60-6,91,,,
77=,77,47.173,0.035,Myristicin,14777,000607-91-0,87,,,
78=,78,47.345,0.167,(+)-cuparene ,3216,016982-00-6,95,,,
79=,79,47.774,11.684,Lilial ,1362,000080-54-6,99,,,
80=,80,47.872,0.702,alpha-Methyl ionone,3216,000127-42-4,98,,,
81=,81,48.193,0.031,"Phenol, 2,4,6-trimethyl- (CAS) $$ 2,4,6-Trimethylphenol $$ Mesitol",3216,527-60-6,43,,,
82=,82,48.333,0.029,"208Ã¥œ„ Bacdanol;Bangalol;Sandolen(H&R) ; 2-Ethyl-4-(2,2,3-trimethyl-3-cyclopent",1835,106185-75-5,70,,,
83=,83,48.677,0.043,Cadinene,14427,880143-55-5,96,,,
84=,84,49.114,0.038,º◊Œª≥§“∂À…œ© alpha-Longipinene,,005989-08-2,64,,,
85=,85,49.383,0.009,".alpha.-Calacorene $$ 1-Isopropyl-4,7-dimethyl-1,2-dihydronaphthalene",,021391-99-1,87,,,
86=,86,49.615,0.176,gama-Undecalactone,,000104-67-6,87,,,
87=,87,49.923,0.215,Sandranol(zhazhi)3,,106185-75-5,95,,,
88=,88,50.318,2.759,Sandolene (Sriffol),,028219-61-6,99,,,
89=,89,50.544,0.062,"[7-(4-TERT-BUTYL-BENZYL)-1,3-DIMETHYL-2,6-DIOXO-2,3,6,7-TETRAHYDRO-1H-PURIN-8-YL",,998697-82-6,59,,,
90=,90,51.125,0.149,beta-Methyl ionone,,000127-43-5,98,,,
91=,91,51.803,0.026,"∂‘ Â∂°ª˘±Ω““À·º◊ı•Benzeneacetic acid, 4-(1,1-dimethylethyl)-, methyl ester $$ M",,003549-23-3,93,,,
92=,92,52.195,0.323,Acetyl isoeugenol(Isoeugenol acetate)<large>,,000093-29-8,98,,,
93=,93,52.734,0.562,Cedrol,,000077-53-2,98,,,
94=,94,52.848,0.127,33.08 SESQUITHURIFEROL,,000000-00-0,99,,,
95=,95,53.305,0.136,"[1,2,4]Triazolo[1,5-a]pyridine, 2-",,000768-19-4,25,,,
96=,96,53.627,0.062,METHYL-.BETA.-IONONE,,000127-43-5,59,,,
97=,97,53.709,0.053,"2-Heptanone, 6-(3,5-dimethyl-2-furanyl)-6-methyl-",,090165-09-6,70,,,
98=,98,53.843,0.015,"1-Naphthalenol, decahydro-4a-methyl-8-methylene-2-(1-methylethyl)-, [1R-(1.alpha",,030951-17-8,76,,,
99=,99,54.205,0.782,Cedryl methyl ether,,019870-74-7,99,,,
100=,100,54.485,0.173,Iso E super,,054464-57-2,94,,,
101=,101,54.793,4.315,Methyl dihydrojasmonate,,024851-98-7,98,,,
102=,102,55.711,0.539,Iso E super,,054464-57-2,98,,,
103=,103,56.108,1.632,Methyl dihydrojasmonate,,024851-98-7,93,,,
104=,104,56.300,6.117,Iso E super,,054464-57-2,98,,,
105=,105,56.585,1.695,Iso E super,,054464-57-2,99,,,
106=,106,56.822,0.169,¡˙œ—œ„Õ™(II) Isocyclemone E(II),,054464-57-2,64,,,
107=,107,57.110,0.107,"BHT 2,6-∂˛ Â∂°ª˘∂‘º◊∑” $$ Butylated hydroxytoluene",,128-37-0,91,,,
108=,108,57.283,0.494,¡˙œ—œ„Õ™(II) Isocyclemone E(II),,054464-57-2,80,,,
109=,109,57.472,0.051,trans-.beta.-Ionone,,014901-07-6,43,,,
110=,110,57.688,0.188,Veramoss ,,004707-47-5,97,,,
111=,111,57.864,1.743,¡˙œ—œ„Õ™ Isocyclemone E(III) Aceto,,054464-57-2,99,,,
112=,112,58.010,0.188,"Lumazine, 6,7-dimethyl-8-propyl-",,021892-64-8,35,,,
113=,113,58.243,0.068,"2-(1-Cyclohexenyl)cyclohexanone $$ Cyclohexanone, 2-(1-cyclohexen-1-yl)- $$ CHCH",,001502-22-3,38,,,
114=,114,58.679,0.038,º—¿÷˜Íœ„Galaxolide (IV) ; º—¿÷˜Íœ„÷–“ÏππÃÂ∑Â 30.98min,,001222-05-5,76,,,
115=,115,58.899,0.064,Acoradiene<beta->,,28477-64-7,89,,,
116=,116,59.868,0.372,Amberwood F(Boisambrebe forte),,058567-11-6,90,,,
117=,117,60.217,10.566,HCA,,000101-86-0 ,99,,,
118=,118,60.391,0.023,Benzyl benzoate,,000120-51-4,92,,,
119=,119,60.745,0.089,"7-Chloro-4-(3,5-dimethylpyrazol-1-yl)-v-triazolo[4,5-d]pyridazine",,085732-78-1,80,,,
120=,120,61.157,0.113,Synambram(6),,000000-00-0,90,,,
121=,121,61.424,0.576,HCA,,000101-86-0,99,,,
122=,122,61.638,0.628,Cedryl acetate,,000077-54-3,93,,,
123=,123,61.735,0.197,"2-Decenal, 2-hexyl- $$ 2-HEXYL-2-DECENAL",,013893-39-5,99,,,
124=,124,62.456,0.031,CADINENE,,880143-55-5,89,,,
125=,125,63.850,0.776,º—¿÷˜Íœ„Galaxolide (IV) ; º—¿÷˜Íœ„÷–“ÏππÃÂ∑Â 30.98min,,001222-05-5,99,,,
126=,126,64.027,0.856,º—¿÷˜Íœ„Galaxolide (IV) ; º—¿÷˜Íœ„÷–“ÏππÃÂ∑Â 30.98min,,001222-05-5,99,,,
127=,127,64.247,0.090,Habanolide(2),,034902-57-3,99,,,
128=,128,64.571,0.077,Habanolide(3),,034902-57-3,99,,,
129=,129,64.752,0.376,Cyclopentadecanolide,,000106-02-5,99,,,
130=,130,64.919,0.051,º—¿÷˜Íœ„Galaxolide (IV) ; º—¿÷˜Íœ„÷–“ÏππÃÂ∑Â 30.98min,,001222-05-5,99,,,
