[contents],,,,,,,
count=2,,,,,,,
Name=,C:\Users\nick cafferry\Desktop\P0094_Living_Proof_3.D,,,,,,
1=,PBM ∂•µ„,,,,,,
2=,INT TIC: P0094_Living_Proof_3.D\data.ms,,,,,,
[PBM ∂•µ„],,,,,,,
Time=,Wed Jun 02 08:58:01 2021,,,,,,
Header=,PK,RT,Area Pct,Library/ID,Ref,CAS,Qual
1=,1,5.553,0.308880309,"Silanediol, dimethyl- $$ Dihydroxydimethylsilane $$ Dimethylsilanediol #",7042,001066-42-8,46
2=,2,10.91,1.847605627,Geraniol,1797,000106-24-1,95
3=,3,18.268,0.906419891,Agrumex Cis-(Verdox CIS-),2449,000088-41-5,86
4=,4,21.042,0.099971576,Verdox(1),14438,000088-41-5,90
5=,5,23.29,40.80989767,Triacetin,967,000102-76-1,90
6=,6,26.659,0.017514588,““À·À’∫œœ„ı•STYRALLYL ACETATE $$ PHENYL METHYL CARBINYL ACETATE,9877,000093-92-5,70
7=,7,26.839,0.066090767,Ethyl linalool<peak1>,1639,010339-55-6,76
8=,8,27.283,0.032513334,"Neryl acetate $$ 2,6-Octadien-1-ol, 3,7-dimethyl-, acetate, (Z)- (CAS)",171739,000141-12-8,38
9=,9,27.653,0.247720373,Phenoxylethyl alochol,1760,000122-99-6,70
10=,10,27.925,0.497663619,Phenoxylethyl alochol,1760,000122-99-6,96
11=,11,28.039,0.670608486,Phenoxylethyl alochol,1760,000122-99-6,96
12=,12,29.211,0.093607792,Geranyl acetate (peak2),1920,000105-87-3,72
13=,13,29.699,0.088927895,Citronellol,1795,000106-22-9,98
14=,14,29.987,0.09274959,"1,2-Octanediol (CAS) $$ 1,2-Dihydroxyoctane $$ 1,2-Octylene glycol $$ AI3-13058",60273,001117-86-8,64
15=,15,30.056,0.151039001,"1,2-Octanediol (CAS) $$ 1,2-Dihydroxyoctane $$ 1,2-Octylene glycol $$ AI3-13058",60273,001117-86-8,78
16=,16,31.95,0.105286569,Dodecanal,241,000112-54-9,86
17=,17,32.976,0.531676112,Allyl cyclohexyl propionate,2484,002705-87-5,95
18=,18,33.587,0.733886339,Ethyl vanillin,1823,000121-32-4,96
19=,19,34.521,0.364794459,Isoeugenol<peak2>,2553,000097-54-1,97
20=,20,34.993,0.403388729,gama-Decalactone,1315,000706-14-9,86
21=,21,35.452,0.737513555,Cyclamen aldehyde,314,000103-95-7,93
22=,22,35.692,0.119242544,Ebanol<peak2>,1104,067801-20-1,93
23=,23,36.481,0.163241402,Ebanol<peak1>,2801,067801-20-1,95
24=,24,38.494,0.936476626,““Œª◊œ¬ﬁ¿ºÕ™.beta.-Ionone $$,9230,014901-07-6,91
25=,25,38.504,0.655894008,Isomethyl ionone,1962,000127-51-5,50
26=,26,39.045,0.169590091,Dimethyl benzyl carbinyl butyrate,2785,010094-34-5,87
27=,27,39.846,0.090119646,±˚À·»˝ª∑πÔœ©ı•£®I£©Tricyclodecenyl Propionate;  Verdyl Propionate; Cyclaprop,14586,017511-60-3,80
28=,28,40.163,0.035718526,.beta.-methyl ionone,199240,998199-24-0,49
29=,29,40.41,1.353007667,Phenoxy ethyl isobutyrate,1897,000103-60-6,95
30=,30,40.977,3.655249951,Tricyclodecenyl propionate,26,017511-60-3,98
31=,31,41.281,7.90345932,Lilial,8,000080-54-6,99
32=,32,41.531,0.259662339,alpha-Methyl ionone,2897,000127-42-4,96
33=,33,41.933,0.19441166,±˚À·»˝ª∑πÔœ©ı•(V)Tricyclodecenyl Propionate;  Verdyl Propionate; Cyclaprop,14588,017511-60-3,95
34=,34,43.497,2.282339487,Rose acetate,1384,000090-17-5,91
35=,35,43.991,1.667990367,gama-Undecalactone,1623,000104-67-6,91
36=,36,45.634,0.04171129,"1,2-Benzenedicarboxylic acid, diethyl ester (CAS) $$ Ethyl phthalate",242258,000084-66-2,38
37=,37,45.881,0.080324598,beta-Methyl ionone,2347,000127-43-5,97
38=,38,46.059,0.046181062,"Sulfurous acid, 2-ethylhexyl tridecyl ester",637934,998637-93-4,47
39=,39,47.569,0.26856111,Lilial,8,000080-54-6,99
40=,40,50.32,0.110338339,ACA(little peak),1840,000122-40-7,99
41=,41,50.434,1.760572596,Kharismal (cis-MDJ peak1),1840,000000-00-0,98
42=,42,51.644,0.102597862,Iso E super,1281,054464-57-2,96
43=,43,52.09,0.184743038,Iso E super,157253,054464-57-2,83
44=,44,52.252,1.707748809,Iso E super,1283,054464-57-2,93
45=,45,52.654,0.349397521,Iso E super,1282,054464-57-2,99
