[contents],,,,,,,
count=1,,,,,,,
Name=,D:\晓善\芬畅数据处理\P0104_02.D,,,,,,
1=,PBM 顶点,,,,,,
[PBM 顶点],,,,,,,
Time=,Fri May 28 11:31:06 2021,,,,,,
Header=,PK,保留时间,面积百分比,Library/ID,CAS,匹配度,
,,5.509 ,0.002 ,"Furan, 2,3-dihydro-4-methyl- $$ 4-Methyl-2,3-dihydrofuran",034314-83-5,64,
,,6.219 ,0.002 ,"Toluene $$ Benzene, methyl $$ Methacide $$ Methylbenzene $$ Methylbenzol",000108-88-3,64,
1=,1,6.486 ,0.015 ,"1,3-DIOXOLANE, 2-ETHYL-4-METHYL- $$ 2-ETHYL-4-METHYL-1,3-DIOXOLANE",004359-46-0,83,
,,6.537 ,0.004 ,"1,3-Dioxane, 2,4-dimethyl- (CAS) $$ 2,4-Dimethyl-1,3-dioxane",000766-20-1,83,
2=,2,6.695 ,0.005 ,"1,4-Dioxane, dimethyl- (CAS) $$ X,X-DIMETHYL-1,4-DIOXANE $$ Dimethyldioxane",025136-55-4,83,
3=,3,7.603 ,0.041 ,2-甲基-2-戊烯醛$$ 2-Methyl-2-pentenal $$ 2-Methyl-3-ethylacrolein $,000623-36-9,95,
4=,4,8.161 ,0.035 ,"2-Propanol, 1-(2-propenyloxy)- $$ 2-Propanol, 1-(allyloxy)-",021460-36-6,90,
7=,7,10.874 ,11.915 ,"Ethanol, 2-butoxy- $$ .beta.-Butoxyethanol $$ Butyl cellosolve $$ Butyl glycol",000111-76-2,90,
8=,8,12.102 ,0.086 ,Ethyl amyl ketone,000106-68-3,91,
,,12.122 ,0.039 ,Alpha-Thujene(RI=950),,,
9=,9,12.371 ,0.028 ,Benzaldehyde,000100-52-7,91,
10=,10,12.505 ,0.712 ,Alpha-Pinene(RI=950),000080-56-8,96,
11=,11,13.044 ,0.006 ,"右旋莰烯- $$ Camphene, (1R,4S)-(+)",005794-03-6,80,
12=,12,13.133 ,0.012 ,Camphene,000079-92-5,97,
13=,13,14.538 ,0.507 ,beta-pinene(RI950),000127-91-3,96,
14=,14,14.722 ,0.009 ,己酸$ n-Hexanoic acid $$ Hexoic acid $$ Caproic acid $$ n-Hexoi,000142-62-1,78,
15=,15,15.208 ,0.149 ,beta-Myrcene,000123-35-3,96,
,,15.374 ,0.003 ,"Benzene, 1-chloro-3-methyl- (CAS) $$ m-Chlorotoluene $$ 3-Chlorotoluene",000108-41-8,70,
16=,16,16.001 ,0.671 ,alpha-Phellandrene,000099-83-2,97,
,,16.466 ,0.237 ,alpha-Pinene,000080-56-8,90,
17=,17,16.867 ,6.415 ,Benzyl alcohol,000100-51-6,98,
,,16.888 ,0.211 ,p-Cymene,000099-87-6,90,
18=,18,17.149 ,0.010 ,Benzyl Alcohol,000100-51-6,86,
,,17.422 ,0.219 ,beta-Phellandrene,000099-83-2,97,
,,17.460 ,0.353 ,"1,8-Eucalyptol",000470-82-6,80,
19=,19,17.562 ,3.160 ,Limonene,000138-86-3,99,
20=,20,17.831 ,0.020 ,8.96 OCIMENE<(Z)-BETA->,027400-71-1,86,
21=,21,18.193 ,0.008 ,苏合香醇 1-Phenylethanol $$ 1-PHENYL-ETHANOL $$,000098-85-1,87,
22=,22,18.488 ,0.043 ,Ocimene<peak2>(RI950),013877-91-3,98,
23=,23,19.161 ,0.441 ,alpha-Pinene,000080-56-8,86,
24=,24,19.551 ,0.308 ,Octanal,000124-13-0,91,
25=,25,19.703 ,0.010 ,10.29 LINALOOL OXIDE<TRANS->(FURANOID),034995-77-2,64,
26=,26,20.306 ,0.004 ,Methyl benzoate,000093-58-3,74,
27=,27,20.620 ,0.013 ,对-甲位-二甲基苏合香烯$$ 1-Methyl-4-isopropenylbenzene $$,001195-32-0,87,
28=,28,20.785 ,0.004 ,13.20 OCIMENE<NEO-ALLO->,003016-19-1,64,
29=,29,21.014 ,0.225 ,gamma-Terpinene,000099-85-4,96,
30=,30,21.505 ,1.451 ,Linalool,000078-70-6,97,
31=,31,22.241 ,0.004 ,"1-(2-propenyl)tricyclo[4.1.0.0(2,7)]heptane",115798-16-8,50,
32=,32,22.432 ,0.004 ,Docosane (CAS) $$ n-Docosane $$ C22H46 STANDARD $$ Normal-docosane,000629-97-0,64,
33=,33,22.765 ,0.011 ,"2-Cyclohexen-1-ol, 1-methyl-4-(1-methylethyl)-, trans-",029803-81-4,86,
34=,34,23.587 ,0.018 ,Linalool acetate<Dihydro>,000000-00-0,72,
,,23.777 ,0.003 ,"Naphthalene, 1,2,3,5,8,8a-hexahydro- $$ 1,2,3,5,8,8a-Hexahydronaphthalene #",062690-65-7,80,
35=,35,23.812 ,0.008 ,"1-TERPINEOL $$ TERPENENE-1-OL $$ 3-CYCLOHEXEN-1-OL, 1-METHYL-4-(1-METHYLETHYL)-",000586-82-3,70,
36=,36,24.599 ,0.033 ,PROPYLENE GLYCOL TRIMER 1,000000-00-0,83,
37=,37,24.862 ,0.032 ,PROPYLENE GLYCOL TRIMER 1,000000-00-0,83,
38=,38,25.211 ,0.004 ,"5,7-Octadien-3-ol, 2,4,4,7-tetramethyl-, (E)-",077142-78-0,70,
39=,39,25.465 ,0.013 ,"5,7-Octadien-3-ol, 2,4,4,7-tetramethyl-, (E)-",077142-78-0,70,
40=,40,26.071 ,0.007 ,1-Nonanol,000143-08-8,78,
,,26.290 ,0.037 ,对伞花-8-醇PARA-CYMEN-8-OL,001197-01-9,70,
41=,41,26.353 ,0.429 ,4-Terpinenol,000562-74-3,94,
,,26.623 ,0.083 ,辛酸CAPRYLIC ACID $$ OCTANOIC ACID,000124-07-2,91,
42=,42,26.670 ,0.280 ,Styralyl acetate,000093-92-5,97,
,,26.716 ,0.235 ,辛酸CAPRYLIC ACID $$ OCTANOIC ACID,000124-07-2,91,
43=,43,27.105 ,0.635 ,alpha-Terpineol,000098-55-5,91,
44=,44,27.663 ,0.019 ,"Bicyclo[3.1.0]hexan-3-ol, 4-methylene-1-(1-methylethyl)-, [1S-(1.alpha.,3.beta.,",000471-16-9,72,
45=,45,28.025 ,0.601 ,Phenoxylethyl alochol,000122-99-6,96,
46=,46,28.288 ,0.025 ,1-Dodecanol (CAS) $$ n-Dodecanol $$ CO 12 $$ S 1298 $$ Dodecanol $$ Pisol,000112-53-8,70,
47=,47,28.599 ,0.023 ,月桂醇$$ n-Dodecanol $$ CO 12 $$ S 1298 $$ Dodecanol $$ Pisol $$ Alf,000112-53-8,64,
49=,49,29.059 ,0.107 ,十四烷$ n-Tetradecane $$ Isotetradecane,000629-59-4,90,
50=,50,29.186 ,0.068 ,1-Undecanol,000112-42-5,80,
51=,51,29.672 ,0.080 ,Nerol,000106-25-2,72,
52=,52,29.783 ,0.065 ,1-Undecanol,000112-42-5,80,
53=,53,30.528 ,0.004 ,Piperitone,000000-00-0,83,
54=,54,31.318 ,0.157 ,Geraniol,000106-24-1,97,
55=,55,31.712 ,0.538 ,Linalyl acetate,000115-95-7,91,
56=,56,32.759 ,0.290 ,Decanol,000112-30-1,91,
57=,57,32.968 ,0.033 ,Safrole,000094-59-7,96,
58=,58,33.879 ,0.008 ,"1-(3'-butenyl)-1,2-epoxycyclopentane",119681-01-5,43,
59=,59,34.218 ,0.006 ,香芹酚$ Carvacrol $$ 2-HYDROXY-4-ISOPROPYL-,000499-75-2,78,
60=,60,34.757 ,0.006 ,2-Pentadecanol $$ sec-Pentadecyl alcohol $$ 2 - pentadecanol,001653-34-5,43,
61=,61,35.646 ,0.016 ,十一烷 $$ n-Undecane $$ Hendecane $$ n-C11H24 $$ UN 2330,001120-21-4,83,
62=,62,37.280 ,0.090 ,Eugenol,000097-53-0,98,
63=,63,37.584 ,0.483 ,Terpinyl acetate,000080-26-2,91,
64=,64,38.346 ,0.119 ,Geranyl acetate (peak1),000105-87-3,91,
65=,65,38.514 ,0.004 ,.alpha.-Copaene,003856-25-5,43,
66=,66,39.085 ,0.027 ,"trans-Tricyclo[7.5.0.0(2,8)]tetradeca-7,9-diene",998151-84-2,64,
67=,67,39.364 ,0.121 ,n-Decanoic acid $$ Decanoic acid $$ n-Capric acid $$ n-Decoic acid,000334-48-5,49,
,,39.374 ,0.027 ,Damascenone,000334-48-5,80,
68=,68,39.491 ,0.143 ,Neryl acetate,000141-12-8,91,
,,39.590 ,0.011 ,异长叶烯Isolongifolene $$,001135-66-6,80,
69=,69,39.875 ,0.114 ,Calone(Oxalone),028940-11-6,93,
70=,70,40.037 ,0.043 ,Eugenol methyl ether,000093-15-2,98,
71=,71,40.167 ,0.051 ,Copaene<alpha->,003586-25-5,91,
72=,72,40.465 ,0.010 ,"alpha-Cedrene<1,2-DI-EPIALPHA->",000000-00-0,90,
73=,73,41.001 ,0.039 ,3-Dodecanol (CAS) $$ 3 - dodecanol (identified from MS) $$ 3 - dodecanol,010203-30-2,50,
74=,74,41.220 ,0.141 ,2-癸醇2-Dodecanol (CAS) $$ Dodecanol-2,010203-28-8,64,
75=,75,41.607 ,0.095 ,Cyperene,002387-78-2,91,
77=,77,41.918 ,0.143 ,Florazone,006734-14-4,91,
78=,78,42.032 ,0.198 ,十四烷$ n-Tetradecane $$ Isotetradecane,000629-59-4,98,
,,42.118 ,0.020 ,十六醇1-Hexadecanol (CAS) $$ Cetal $$ Ethal $$ Ethol $$ Cetanol $$ Cetylol $$,036653-82-4,90,
,,42.258 ,0.006 ,乙酸二氢香芹酯Dihydrocarvyl acetate $$,020777-49-5,70,
79=,79,42.315 ,0.072 ,alpha-Cedrene,000469-61-4,97,
80=,80,42.499 ,0.321 ,Floralozone,006734-14-4,96,
81=,81,42.699 ,0.088 ,Caryophyllene,000087-44-5,99,
,,42.908 ,0.006 ,hexahydro - tetramethyl - naphthalene,000000-00-0,80,
82=,82,43.041 ,0.016 ,.gamma.-Cadinene (CAS),039029-41-9,78,
83=,83,43.187 ,0.013 ,"1-Dodecanol, methyl ether",998182-95-4,72,
84=,84,43.412 ,0.042 ,"27.35 MURROLA-4(14),5-DIENE<CIS->",000000-00-0,72,
,,43.466 ,0.008 ,(+)-Aromadendrene,000489-39-4,70,
,,43.805 ,0.005 ,Begamotene<alpha-trans->,000000-00-0,80,
85=,85,43.872 ,0.021 ,"(8R,8aS)-(+)-8,8a-Dimethyl-3,4,6,7,8,8a-hexahydronaphthalen]-2(1H)-one",998127-34-7,95,
86=,86,44.044 ,0.017 ,NEOALLOOCIMENE,000000-00-0,80,
,,44.428 ,0.005 ,.beta.-Santalene (CAS),000511-59-1,70,
