[contents],,,,,,,
count=1,,,,,,,
Name=,D:\CGMS\∑“≥© ˝æ›¥¶¿Ì\CF0103.D,,,,,,
1=,PBM ∂•µ„,,,,,,
[PBM ∂•µ„],,,,,,,
Time=,Fri Jun 04 09:43:26 2021,,,,,,
Header=,PK,±£¡Ù ±º‰,√Êª˝∞Ÿ∑÷±»,Library/ID,CAS,∆•≈‰∂»,
1=,1,6.7592,0.004,3-Hexanol (CAS) $$ Hexan-3-ol $$ C2H5CH(OH)C3H7 $$ Ethylpropylcarbinol,000623-37-0,70,
2=,2,8.0636,0.015,"1-Butanol, 2-ethyl- (CAS) $$ 2-Ethyl-1-butanol $$ 3-Methylolpentane",000097-95-0,80,
3=,3,9.08,3.989,Alcohol C6(Hexanol),000011-27-3,90,
4=,4,9.4789,0.008,Cyclohexanol (CAS) $$ Anol $$ Naxol $$ Adronol $$ Hexalin $$ Adronal,000108-93-0,80,
5=,5,10.2927,0.014,2-Heptanol $$ s-Heptyl alcohol $$ Amyl methyl carbinol $$ Methyl amyl carbinol,000543-49-7,64,
6=,6,12.4679,0.008,Alpha-Pinene(RI=950),000080-56-8,76,
7=,7,14.8109,0.027,Carbitol,000111-90-0,80,
8=,8,15.0832,0.023,3-Octanol (CAS) $$ n-Octan-3-ol $$ Ethylamylcarbinol $$ Octan-3-ol,000589-98-0,72,
9=,9,15.8241,0.158,DPG<peak1>,000110-98-5,91,
10=,10,16.0742,0.028,P-Gresyl methyl ether,000104-93-8,91,
11=,11,16.4542,0.06,Benzyl Alcohol,000100-51-6,97,
12=,12,16.8151,0.099,DPG<peak3>,000110-98-5,90,
13=,13,16.9323,0.034,DPG<peak4>,000110-98-5,80,
14=,14,17.0811,0.117,DPG<peak3>,000110-98-5,90,
,,17.296,0.008,"Octane, 1-methoxy- $$ n-Octyl methyl ether $$ Ether, methyl octyl",000929-56-6,80,
15=,15,17.4136,0.03,Limonene,000138-86-3,99,
16=,16,18.7877,0.023,DPG<peak3>,000110-98-5,90,
