[contents],,,,,,,
count=1,,,,,,,
Name=,D:\CGMS\∑“≥© ˝æ›¥¶¿Ì\P0107-2.D,,,,,,
1=,PBM ∂•µ„,,,,,,
[PBM ∂•µ„],,,,,,,
Time=,Fri Jun 04 15:50:57 2021,,,,,,
Header=,PK,RT,Area Pct,Library/ID,CAS,Qual,
1=,1,8.428,0.007,Ethyl 2-Methylbutyrate,007452-79-1,86,
2=,2,12.12,0.019,Manzanoate,039255-32-8,86,
3=,3,12.37,0.006,Benzaldehyde (CAS) $$ Phenylmethanal $$ Benzenecarbonal $$ Benzaldehyde FFC,000100-52-7,80,
4=,4,14.285,0.023,Beta-Thujene(RI950),028634-89-1,80,
5=,5,14.517,0.009,beta-Pinene,000127-91-3,91,
,,15.15,0.03,"Hexanoic acid, ethyl ester (CAS) $$ ETHYL N-CAPROATE $$ Ethyl caproate",000123-66-0,80,
6=,6,15.21,0.005,".beta.-Myrcene $$ 1,6-Octadiene, 7-methyl-3-methylene- (CAS)",000123-35-3,58,
,,15.868,0.095,DPG<peak2>,000110-98-5,80,
7=,7,15.913,0.068,"Acetic acid, hexyl ester",000142-92-7,86,
8=,8,16.828,0.068,DPG<peak3>,000110-98-5,72,
,,16.851,0.014,P-Cymene,000099-87-6,80,
9=,9,16.961,0.026,DPG<peak2>,000110-98-5,80,
10=,10,17.075,0.088,DPG<peak2>,000110-98-5,80,
11=,11,17.423,0.201,Limonene,000138-86-3,99,
12=,12,17.809,0.011,Ocimene<peak1>(RI950),013877-91-3,80,
13=,13,18.477,0.014,Ocimene<peak1>(RI950),013877-91-3,80,
14=,14,18.766,0.023,DPG<peak2>,000110-98-5,80,
15=,15,19.13,0.023,alpha-Phellandrene(RI950),000099-83-2,74,
16=,16,19.465,0.009,Triplal<peak1>,068039-49-6,76,
17=,17,19.684,0.009,LINALOOL OXIDE (2),005989-33-3,80,
18=,18,20.295,0.053,Methyl benzoate,000093-58-3,94,
19=,19,20.58,0.01,LINALOOL OXIDE (2),005989-33-3,80,
20=,20,20.998,0.013,"Ethanone, 1-(4-ethylphenyl)- $$ Acetophenone, 4'-ethyl- $$ p-Acetylethylbenzene",000937-30-4,70,
,,21.118,0.01,Triplal<peak1>,068039-49-6,76,
