配方编号：,,FA13008,,,,,
名称：,,阿玛尼挚爱女士,配方成本：元/Kg,调香师：,出样日期：,,
序号,原料编码,原料中文名称,原料英文名称,CAS编号,单价：元/Kg,%,成本：元
1,96031,叶醇,Cis-3-Hexen-1-ol,928-96-1,240,0.005,1.2
2,92203,梨醇酯/3-甲基-2-丁烯-1-醇乙酸酯;,prenyl acetate/2-Buten-1-ol-3-methyl-1-acetate  ,1191-16-8,100,0.005,0.5
3,95010,甜橙油萜(无色),Orange terpene,5989-27-5,96,0.6,57.6
4,95004,阿根廷柠檬油,Lemon oil Argentina,8008-56-8,290,0.3,87
5,95001,二丙二醇(DPG),Dipropylene glycol -DPG,110-98-5,16.4,35.27,578.43
6,97007,艾薇醛,Vertoliff,27939-60-2,130,0.06,7.8
7,96024,苯乙醇,Phenethyl alcohol,60-12-8,35,0.9,31.5
8,96025,合成芳樟醇,Linalool,78-70-6,52,0.7,36.4
9,96914,玫瑰醚,Rose oxide ,16409-43-1,300,0.015,4.5
10,92114,丁酸二甲基苄基原酯/二甲基苄基原醇丁酯,Benzyldimethylcarbinyl butyrate,10094-34-5,75,0.4,30
11,92035,乙酸苄酯 /醋酸苯甲酯,Benzyl acetate/Phenylmethyl acetate,140-11-4,15.5,0.2,3.1
12,93022,乙基麦芽酚,Ethyl matol ,4940-11-8,160,1,160
13,92049,乙酸苏合香酯,Styralyl acetate/Methyl phenyl carbinyl acetate,93-92-5,30,0.015,0.45
14,96028,乙基芳樟醇,Ethyl linalool,10339-55-6,140,2,280
15,96082,白花醇,Florol,63500-71-0,140,1.6,224
16,97061,苯乙二甲缩醛,Phenylacetaldehyde dimethyl acetal,101-48-4,115,1.1,126.5
17,98031,左旋香芹酮,L-Carvone,6485-40-1,240,0.02,4.8
18,92058,乙酸苯乙酯/2-苯基乙酸乙酯,Phenylethyl Acetate/Benzyl carbinyl acetate,103-45-7,42,0.01,0.42
19,96021,香叶醇600,Geraniol 600,106-24-1,65,0.5,32.5
20,92044,乙酸芳樟酯/3-7-二甲基-1-6辛二烯-3-醇乙酸酯,Linalyl acetate/Phanteine,115-95-7,62,2,124
21,98504,吲哚(进口)（粉末）,Indole,120-72-9,500,0.05,25
22,97099,羟基香草醛/羟醛（进口）,HYDROXYCITRONELLAL ,107-75-5,172,0.8,137.6
23,96051,桂醇,Cinnamyl alcohol,104-54-1,65,0.3,19.5
24,92040,乙酸邻叔丁基环己酯,Verdox/2-tert-Butyl cyclohexyl acetate,88-41-5,22,0.03,0.66
25,97039,洋茉莉醛香基(50%BB),Heliotropin 50%BB,1205-17-0,158,0.2,31.6
26,92057,乙酸二甲基苄基原酯/α-α-二甲基苯乙醇乙酸酯 ,Benzyl dimethyl carbinyl acetate,151-05-3,51,0.22,11.22
27,98052,凡路酮,Veloutone,65443-14-3,920,0.07,64.4
